Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;1;1;8.1;5;6.73;2.03;5;1.74;0.99;0;38
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;1;2;6.51;5;6.26;1.63;3;1.51;0.72;0;38
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;1;3;4.67;4;6.96;1.56;2;1.97;1.61;0;30
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;2;1;5.96;4;7.86;1.99;5;2.23;0.6;0;35
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;2;2;5.99;4;5.67;2;1;1.24;0.89;0;22
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;2;3;6.23;4;6.71;2.08;2;1.63;1.29;0;28
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;3;1;5.54;4;7.58;1.85;3;2.02;1.03;0;34
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;3;2;4.15;3;6.25;2.08;1;1.17;0.28;0;18
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;1;3;3;4.71;3;8.09;2.36;4;2.19;0.9;0;29
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;1;1;6.95;6;5.81;1.39;3;1.73;0.5;0;38
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;1;2;3.93;4;5.61;1.31;3;2.03;1.11;0;22
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;1;3;5.41;3;8.04;2.71;4;2.01;1.36;0;24
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;2;1;7.03;4;8.74;2.34;4;2.08;0.7;0;30
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;2;2;4.96;3;6.98;2.48;2;1.72;1.07;0;19
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;2;3;6.11;4;6.08;2.04;3;1.76;0.79;0;32
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;3;1;5.63;4;5.91;1.88;2;1.25;0.97;0;22
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;3;2;3.8;3;7.7;1.9;4;2.3;0.31;0;28
Ob01;Ob;B197;Africa;Wild;Cali-Colombia;2;3;3;2.59;2;7.92;2.59;3;1.81;0.58;0;14
Ob02;Ob;B117;Africa;Wild;Cali-Colombia;1;1;1;13.95;10;10.72;1.55;17;2.34;0.92;0;127
Ob02;Ob;B117;Africa;Wild;Cali-Colombia;1;1;2;8.12;7;10.34;1.35;10;1.62;1.34;0;73
Ob02;Ob;B117;Africa;Wild;Cali-Colombia;1;1;3;14.24;12;9.57;1.29;9;1.85;2.33;0;109
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;1;1;6.9;4;11.94;2.3;11;2.17;0.66;0;58
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;1;2;9.24;5;10.57;2.31;10;2.19;0.66;0;59
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;1;3;6.92;5;8.3;1.73;6;1.96;0.64;0;45
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;2;1;6.89;4;10.14;2.29;8;1.85;0.84;0;45
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;2;2;10.19;5;9;2.55;9;1.75;0.79;0;52
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;2;3;7.63;5;8.78;1.91;10;1.41;0.54;0;52
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;3;1;10.05;6;6.82;2.01;2;1.6;1.43;0;40
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;3;2;8.57;5;6.7;2.14;5;1.36;1.08;0;42
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;1;3;3;7.43;4;9.92;2.48;8;2.4;0.65;0;47
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;1;1;7.71;5;6.92;1.93;4;1.57;1.66;0;39
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;1;2;9.32;5;8.61;2.33;8;1.67;0.66;0;44
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;1;3;9.45;6;7.79;1.89;7;1.48;0.33;0;53
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;2;1;8.93;5;8.54;2.23;5;1.08;1.06;0;40
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;2;2;11.69;6;8.5;2.34;6;1.42;1.08;0;49
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;2;3;5.54;5;8.88;1.38;7;1.41;0.98;0;49
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;3;1;8.3;5;9.94;2.08;9;1.85;0.72;0;57
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;3;2;7.8;5;9.8;1.95;6;1.35;0.67;0;51
Ob03;Ob;B88;Africa;Wild;Cali-Colombia;2;3;3;6.48;5;8.86;1.62;6;1.44;1.31;0;31
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;1;1;6.21;4;6;2.07;1;1.68;1.09;0;25
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;1;2;4.09;3;4.93;2.05;0;0;0;0;13
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;1;3;6.38;4;4.72;2.13;0;0;0;0;20
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;2;1;4.4;3;5.63;2.2;1;1.27;0.55;0;15
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;2;2;2.76;3;5.98;1.39;2;1.36;1.05;0;17
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;2;3;4.08;3;4.58;2.04;1;1.18;0.97;0;16
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;3;1;6.24;4;4.99;2.08;0;0;0;0;22
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;3;2;6.7;4;4.97;2.23;1;1.29;0.73;0;23
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;1;3;3;5.65;4;4.63;1.89;0;0;0;0;17
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;1;1;6.69;5;5.85;1.67;4;1.73;0.54;0;37
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;1;2;4.92;5;5.27;1.23;3;2.32;0.85;0;35
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;1;3;4.97;4;5.91;1.66;2;1.59;1.06;0;26
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;2;1;5.43;4;6.6;1.81;2;2.5;0.91;0;28
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;2;2;5.62;4;5.11;1.87;0;0;0;0;21
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;3;1;6.04;4;5.72;2.01;0;0;0;0;24
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;3;2;6.38;4;5.87;2.12;1;2.18;0.48;0;25
Ob04;Ob;B74;Africa;Wild;Cali-Colombia;2;3;3;6.57;4;4.41;2.19;0;0;0;0;19
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;1;1;11.16;8;7.94;1.6;11;1.41;0.68;0;82
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;1;2;10.16;7;9.52;1.69;14;1.62;0.55;0;88
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;1;3;11.08;8;8;1.58;10;1.57;1.07;0;89
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;2;1;9.61;8;7.73;1.37;13;1.52;0.55;0;84
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;2;2;10.22;7;7.87;1.7;14;1.56;0.59;0;83
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;2;3;11;8;6.72;1.57;9;1.53;0.81;0;70
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;3;1;9.92;7;8.43;1.65;14;1.63;0.55;0;84
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;3;2;10.57;7;7.34;1.76;10;1.6;0.86;0;73
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;1;3;3;9.73;7;8.76;1.62;14;1.74;0.68;0;91
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;2;1;1;13.17;9;7.15;1.65;9;1.44;0.84;0;84
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;2;1;2;8.45;8;6.7;1.21;13;1.35;0.86;0;76
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;2;1;3;11.17;8;7.42;1.59;12;1.72;0.62;0;89
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;2;2;1;11.3;8;7.54;1.61;9;1.37;0.73;0;85
Ob05;Ob;B70;Africa;Wild;Cali-Colombia;2;2;2;8.81;7;8.98;1.47;15;1.49;0.65;0;87
